,site_id,Ozone,Ozone_clean,site_name,lat,lon,Ozone_clean_count,Ozone_DA,year,Ozone_count,Ozone_DA_before,timestamp_count,percentage_change,compliance_change_non_to_compl,compliance_change_compl_to_non,compliance_change,pollutant_before_cleaning_mass_conc,pollutant_after_cleaning
1,site_168,16.168017528072305,34.88897129647467,Bandra_Mumbai_MPCB,19.0627,72.84614,5191.0,14.774020947176686,2020,25559.0,72.74305555555556,35136.0,115.79003879663932,False,False,False,16.168017528072305,34.88897129647467
6,site_261,,,Airoli_Navi_Mumbai_MPCB,19.1494,72.9986,,0.0,2020,,0.0,,,False,False,False,,
11,site_5102,8.663551730407903,13.951190476190474,Vasai_West_Mumbai_MPCB,19.3832,72.8204,1722.0,4.900956284153005,2020,16499.0,46.95753642987249,35136.0,61.033152572098906,False,False,False,8.663551730407903,13.951190476190474
16,site_5103,27.486991408838225,27.845673902752416,Nerul_Navi_Mumbai_MPCB,19.008751,73.01662,14787.0,42.08504098360656,2020,17809.0,50.685906193078324,35136.0,1.304917255508945,False,False,False,27.486991408838225,27.845673902752416
21,site_5104,31.16599298500241,32.23477192982456,Kurla_Mumbai_MPCB,19.0863,72.8888,22230.0,63.268442622950815,2020,24804.0,70.59426229508196,35136.0,3.4293113822378882,False,False,False,31.16599298500241,32.23477192982456
26,site_5106,22.34742106531694,22.569160467587675,Vile_Parle_West_Mumbai_MPCB,19.10861,72.83622,26348.0,74.98861566484517,2020,29043.0,82.65881147540983,35136.0,0.9922370980644093,False,False,False,22.34742106531694,22.569160467587675
31,site_5107,17.956255335004403,31.6594341934002,Chhatrapati_Shivaji_Intl._Airport_(T2)_Mumbai_MPCB,19.10078,72.87462,13061.0,37.17270036429873,2020,29522.0,84.02208561020036,35136.0,76.31423480419359,False,False,False,17.956255335004403,31.6594341934002
36,site_5112,26.694882085043066,26.86714327272728,Powai_Mumbai_MPCB,19.1375,72.915056,20625.0,58.700478142076506,2020,22177.0,63.11760018214936,35136.0,0.645296679473742,False,False,False,26.694882085043066,26.86714327272728
41,site_5113,11.201008278867103,10.37276110610576,Borivali_East_Mumbai_MPCB,19.2243333,72.8658113,14429.0,41.06614298724954,2020,22950.0,65.31762295081968,35136.0,-7.394398362547367,False,False,False,11.201008278867103,10.37276110610576
46,site_5114,27.892139986485045,28.007142967393403,Mahape_Navi_Mumbai_MPCB,19.1135051,73.008978,25915.0,73.75626138433515,2020,28117.0,80.02333788706738,35136.0,0.41231322144547405,False,False,False,27.892139986485045,28.007142967393403
51,site_5115,24.59446397909668,32.81174204259217,Worli_Mumbai_MPCB,18.9936162,72.8128113,17468.0,49.71539162112932,2020,26790.0,76.24658469945356,35136.0,33.41108824522266,False,False,False,24.59446397909668,32.81174204259217
56,site_5119,24.10591410269873,24.99575773423985,Sion_Mumbai_MPCB,19.047,72.8746,24857.0,70.74510473588343,2020,28569.0,81.30976775956285,35136.0,3.6913913645842547,False,False,False,24.10591410269873,24.99575773423985
61,site_5120,27.39124059163312,26.62823532556399,Colaba_Mumbai_MPCB,18.91,72.82,18706.0,53.23884335154827,2020,22852.0,65.0387067395264,35136.0,-2.7855812646258853,False,False,False,27.39124059163312,26.62823532556399
66,site_5392,11.659560582988906,11.35354273192111,Bandra_Kurla_Complex_Mumbai_IITM,19.053536,72.84643,4107.0,11.688866120218579,2020,4597.0,13.083447176684881,35136.0,-2.6246087825494135,False,False,False,11.659560582988906,11.35354273192111
71,site_5394,49.82789816957711,50.7892523364486,Mazgaon_Mumbai_IITM,18.96702,72.84214,4280.0,12.181238615664846,2020,4753.0,13.527436247723132,35136.0,1.9293492244038724,False,False,False,49.82789816957711,50.7892523364486
76,site_5396,54.848943740271295,54.57990163147793,Deonar_Mumbai_IITM,19.04946,72.923,4168.0,11.86247723132969,2020,4497.0,12.798838797814208,35136.0,-0.4905146579802369,False,False,False,54.848943740271295,54.57990163147793
81,site_5397,49.57298415492958,49.34775024777007,Khindipada-Bhandup_West_Mumbai_IITM,19.1653323,72.922099,1009.0,2.8716985428051003,2020,1136.0,3.2331511839708558,35136.0,-0.45434809099969936,False,False,False,49.57298415492958,49.34775024777007
86,site_5398,43.64680105170903,43.6542234984446,Navy_Nagar-Colaba_Mumbai_IITM,18.897756,72.81332,4179.0,11.893784153005464,2020,4564.0,12.98952641165756,35136.0,0.01700570616108659,False,False,False,43.64680105170903,43.6542234984446
91,site_5399,24.033659730722157,24.0,Chakala-Andheri_East_Mumbai_IITM,19.11074,72.86084,1548.0,4.405737704918033,2020,1634.0,4.650500910746812,35136.0,-0.14005245601080693,False,False,False,24.033659730722157,24.0
96,site_5400,11.369843527738263,10.635484713875098,Borivali_East_Mumbai_IITM,19.23241,72.86895,3827.0,10.891962659380692,2020,4218.0,12.004781420765028,35136.0,-6.458829552681165,False,False,False,11.369843527738263,10.635484713875098
101,site_5401,18.135277150739903,19.07074477227156,Sector-19A_Nerul_Navi_Mumbai_IITM,19.044,73.0325,3491.0,9.935678506375227,2020,3987.0,11.34733606557377,35136.0,5.158275849638676,False,False,False,18.135277150739903,19.07074477227156
106,site_5402,34.42180209698559,35.668075794621025,Malad_West_Mumbai_IITM,19.19709,72.82204,4090.0,11.640482695810565,2020,4578.0,13.029371584699453,35136.0,3.6205939890188885,False,False,False,34.42180209698559,35.668075794621025
111,site_5403,,,Siddharth_Nagar-Worli_Mumbai_IITM,19.000083,72.813993,,0.0,2020,,0.0,,,False,False,False,,
116,site_5412,28.605483599663582,30.709558521560577,Kandivali_East_Mumbai_MPCB,19.2058,72.8682,974.0,2.7720856102003646,2020,1189.0,3.3839936247723132,35136.0,7.355495020967728,False,False,False,28.605483599663582,30.709558521560577
121,site_5413,71.8001134215501,72.58248459958932,Mulund_West_Mumbai_MPCB,19.175,72.9419,974.0,2.7720856102003646,2020,1058.0,3.0111566484517303,35136.0,1.089651729999087,False,False,False,71.8001134215501,72.58248459958932
